,Unnamed: 0,app_ver_name,reviewer_language,device,review_month,star_rating,review_text,sentiment,topic,detail_topic
84,84,4.5.1,id,a22,8,5,mantap,positif,feedback,baik
85,85,4.5.1,id,1807,8,2,tidak bisa pesan tiket selalu tulisannya forbidden sudah kirim email ke cs kai tapi belum dibalas berbulan bulan,negatif,pemesanan,errorpemesanan
86,86,4.4.1,id,Y21,8,4,baik,positif,feedback,baik
87,87,4.5.1,id,c9lte,8,5,pelayanan terhadap pelanggan memuaskan bagaimana untuk menjadi sangat memuaskan,positif,feedback,baik
88,88,4.5.1,id,a72q,8,5,saran saja seharusnya akun bisa untuk ganti nomor hp kalo tidak bisa ganti nomor hp terus nomor hp nya udah mati atau usang tidak akan valid data nya dan tambahkan fitur keluarga jadi jika ada kecelakaan di kai bisa jadi dari kepolisian menghubungi keluarga hahaha hanya saran sih,netral,pengaturan,editprofil
89,89,4.4.7,id,LAVA_R1,8,3,alhamdulillah sekarang udah bisa,netral,feedback,lain
90,90,4.5.1,id,fortuna3g,8,1,time out terus,negatif,error,timeout
91,91,4.3.3,id,CPH1803,8,1,aplikasinya bagus,positif,feedback,baik
92,92,4.4.3,id,j4primelte,8,5,aplikasinya bagus,positif,feedback,baik
93,93,4.5.1,id,on7xelte,8,5,mempermudah proses pemesanan dan pelayanan publik yang baik,positif,feedback,baik
94,94,4.4.9,en,whyred,8,5,bagus,positif,feedback,baik
95,95,4.4.7,id,1906,8,5,aplikasi bagus sangat membantu,positif,feedback,baik
96,96,4.5.1,en,surya,8,5,memudahkan pembelian tiket,positif,feedback,baik
97,97,4.5.1,en,surya,8,5,user experience sangat buruk,negatif,feedback,lain
98,98,4.4.9,id,rolex,8,5,pelayanan bagus,positif,feedback,baik
99,99,4.4.9,id,a10,8,5,sangat bagus,positif,feedback,baik
100,100,4.4.7,en,greatlte,8,5,go ahead,netral,feedback,lain
101,101,4.5.1,id,CPH1803,8,5,sering jadwal tidak keluar,negatif,pemesanan,getjadwal
102,102,unknown,id,1920,8,3,kok saya download di hp vivo tidak bisa ya apa emang pilih pilih hp ya buat aplikasinya,negatif,feedback,lain
103,103,unknown,id,OP4EFDL1,8,5,sangat membantu,positif,feedback,baik
104,104,4.5.1,id,tissot_sprout,8,5,saran aku metode pembayaran di tambahin dong jangan linkaja tambahin seperti ovo atau shopee,netral,pembayaran,metodebayar
105,105,unknown,id,a51,8,5,mantap lah sangat membantu,positif,feedback,baik
106,106,unknown,id,a51,8,5,di tingkatkan lagi untuk pembayaran debit instan kalau tolong di tambah lagi banknya biar lebih simpel,netral,pembayaran,metodebayar
107,107,4.5.1,id,courbet,8,1,kalo emang kereta tidak tersedia kenapa di kai access masih bisa dipesan ujung nya harus di cancel kan sangat mengecewakan plus rugi kita bangsat,negatif,pembatalan,announcebatal
108,108,unknown,id,ginkgo,8,5,efisien dan fleksibel,positif,feedback,baik
109,109,4.5.1,id,a10,8,5,kai access memudahkan customer dalam memperoleh tiket,positif,feedback,baik
110,110,unknown,id,RMX1941,8,5,saya sudah beli tiket sudah bayar juga kok tidak ada tanda terima ya,negatif,pembayaran,paymentnotif
111,111,4.5.1,id,a7y18lte,8,5,sangat suka kalau boleh saran bisa dong bookingin tiket untuk ortu dari kejauhan,netral,pemesanan,bookbedaid
112,112,4.4.9,id,ASUS_X00R_2,8,5,bagus,positif,feedback,baik
113,113,4.4.7,id,PLE,8,5,sangat membantu,positif,feedback,baik
114,114,4.5.1,id,joyeuse,8,5,aku tidak ngerti sama aplikasi kai ini mending aplikasinya dikembalikan ke yang dulu aja harga tiket yang tadinya cuma sekarang jadi naik enak di yang banyak uang tidak enak buat orang macam aku,negatif,feedback,lain
115,115,4.4.7,en,a71,8,5,aplikasi dibuat harusnya untuk mempermudah konsumen ini malah mengambil uang konsumen,negatif,feedback,lain
116,116,4.5.1,en,RMX3063,8,2,refund tiket terlalu lama sampai dengan hari entah prosedur seperti apa yang menyebabkan begitu lama,negatif,feedback,lain
117,117,4.4.7,id,nikel,8,5,sangat membantu dan memudahkan saya terima kasih,positif,feedback,baik
118,118,4.4.7,id,c2s,8,1,ribet,negatif,feedback,lain
119,119,4.4.7,en,greatlte,8,4,gampang,netral,feedback,lain
120,120,4.5.1,en,j2y18lte,8,1,buruk tidak diberi peringatan dengan jelas ketika memesan tiket kereta apabila ada aturan terbaru seharusnya peringatan persyaratan langsung muncul ketika proses pemesanan tiket,negatif,pemesanan,errorpemesanan
121,121,unknown,id,a20s,8,5,bagus,positif,feedback,baik
122,122,4.4.7,id,joyeuse,8,5,tolong permudah aktifasi nomor telpon,negatif,registrasilogin,registrasi
123,123,4.5.0,id,m20lte,8,5,kenapa sekarang surat kesehatan dari puskesmas kok tidak bisa hadeh,negatif,feedback,lain
124,124,4.4.3,id,CPH1821,8,3,tidak niat bikin aplikasi tidak bisa terpakai hapus aja mending nyusahin,negatif,feedback,lain
125,125,4.4.7,id,ugglite,8,5,aplikasinya sangat membantu banget,positif,feedback,baik
126,126,unknown,id,a02,8,5,terima kasih telah menerima saya kerja disini bismillah dirut,netral,feedback,lain
127,127,4.5.1,id,merlin,8,5,sangat membantu,positif,feedback,baik
128,128,4.5.1,id,1601,8,5,gimana cara ganti nomor hp ya,netral,pengaturan,editprofil
129,129,4.5.1,id,A37f,8,1,kenapa setiap mau login muncul tulisan invalid token mohon maaf saya menulis pertanyaan di bagian ulasan karena sepertinya saya tidak menemukan bagian call center atau bagian kolom pengaduan pada aplikasi,negatif,registrasilogin,login
130,130,unknown,id,c2s,8,1,saya ke kecewa perubahan identitas saya harus ganti nomor kalau nomor itu penting gimana,negatif,pengaturan,editprofil
131,131,unknown,id,CPH1701,8,1,kenapa ka lokal tidak bisa katanya canggih,negatif,feedback,lain
132,132,4.5.1,id,a3xelte,8,1,aplikasi payah,negatif,feedback,lain
133,133,4.4.7,id,whyred,8,5,good,positif,feedback,baik
134,134,4.5.1,id,lancelot,8,5,tingkatkan terus menerus tanpa henti tingkatkan kualitas dan kuantitas pelayanan publik terus menerus tanpa henti tingkatkan terus menerus bonus reward semakin besar,netral,feedback,lain
135,135,4.5.1,id,lime,8,3,anak anak tidak bisa naik kereta baiklah silahkan pak masinis momong anak saya,negatif,feedback,lain
136,136,4.4.9,id,a51,8,5,mantap,positif,feedback,baik
137,137,4.4.1,id,a10s,8,5,oke bagus tepat waktu,positif,feedback,lain
138,138,unknown,id,RMX2180,8,4,mohon maaf sebelumnya kenapa aplikasi gampang ngelag ya pas saya sedang pesan tiba tiba ngelag tolong diperbaiki ya kai,negatif,pemesanan,errorpemesanan
139,139,4.5.1,id,j2y18lte,8,5,maju terus buat pt kai semoga kedepannya lebih bagus pelayanannya dan keretanya,positif,feedback,lain
140,140,4.4.7,id,j2lte,8,5,baik,positif,feedback,baik
141,141,4.5.1,id,a51,8,5,kereta baturaden sepertinya belum masuk dalam list,netral,pemesanan,getjadwal
142,142,4.5.1,id,merlin,8,4,kereta api keren,positif,feedback,lain
143,143,4.5.1,id,K33a42,8,5,ka lokal belum beroperasi ya,netral,feedback,lain
144,144,4.5.1,id,j7y17lte,8,3,semoga lebih baik lagi dan fast respon,netral,feedback,lain
145,145,4.5.1,id,cactus,8,3,tolong diperbaiki banyak fitur yang tidak sesuai diantaranya fitur pembelian face shield kenyataannya tidak dikasih,negatif,feedback,lain
146,146,4.5.0,id,a9y18qlte,8,4,oke,netral,feedback,lain
147,147,4.5.1,id,surya,8,4,overall oke si cuma mungkin bisa ditambah fitur pilih penumpang jadi kalo mau pesenin buat orang namanya tidak usah susah susah diganti,netral,pemesanan,bookbedaid
148,148,unknown,id,a50s,8,5,aku kasih karena emang aplikasi nya good,positif,feedback,baik
149,149,unknown,id,a50s,8,5,tapi mau aku uninstall aja soalnya kereta nya tidak jalan jalan mau pulang tidak bisa bisa mengecewakan setidaknya dibuka lah tapi dibatasi,negatif,feedback,lain
150,150,4.5.1,id,nikel,8,4,bagus untuk transportasi,positif,feedback,baik
151,151,4.5.1,id,lancelot,8,5,mau ngeluh dikit saya naik kereta bengawan malam dari kutoarjo ke bekasi pada tanggal agustus pukul pada saat kereta sampai cirebon dan melanjutkan perjalanan arah bekasi entah kecepatan nya kekencengan atau suspensi kereta yang sudah lama kurang perawatan tapi ngerasa guncangan nya terasa sekali sampai suara hantaman suspensi terdengar sangat kencang di dalam rangkaian kereta saya tidak tau kode boggie rangkaian kereta nya posisi kereta full speed terima kasih bintang tetep full min,netral,feedback,lain
152,152,4.5.0,en,a52q,8,4,terlalu banyak iklan,netral,feedback,lain
153,153,4.5.0,id,OP4F2F,8,5,untuk pemesanan ka lokal kenapa sekarang tidak bisa untuk pemesanan mohon bantuannya terima kasih,netral,feedback,lain
154,154,unknown,id,OP4C7D,8,1,aplikasinya bagus saya jadi mudah saat memesan tiket kereta,positif,feedback,baik
155,155,4.5.1,id,a11q,8,4,semoga covid ini cepat berlalu kangen naik ka,netral,feedback,lain
156,156,4.4.9,id,riva,8,3,saya suka layanannya,positif,feedback,baik
157,157,4.4.6,id,a10,8,5,sangat membantu,positif,feedback,baik
158,158,4.4.7,en,jadelte,8,5,pelayanan yang sangat baik,positif,feedback,baik
159,159,4.5.1,en,a5y17lte,8,5,aplikasi yang bagus,positif,feedback,baik
160,160,4.5.1,en,a30,8,3,sudah bagus untuk fasilitasnya hanya saja apabila user tidak sengaja keluar dari menu pembayaran malah tidak bisa melanjutkan proses pembayaran tersebut kalau hal semacam ini terjadi di aplikasi mempersulit user untuk meneruskan pembayaran yang tertunda tolong perbaiki menunggu pembayaran agar dapat meneruskan transaksi pembayaran jadi tidak perlu menunggu jam untuk waktu habis,negatif,pembayaran,errorpembayaran
161,161,4.5.1,id,a50,8,2,minta di update terus,negatif,feedback,lain
162,162,4.5.1,id,m20lte,8,5,siang saya sudah coba email ke cs tapi tetap tidak ada balasan apa bisa membantu hapus akun saya agar saya bisa registrasi ulang,netral,pengaturan,editprofil
163,163,4.5.1,id,m20lte,8,5,semenjak di update saya tidak bisa melanjutkan transaksi apa setelah memilih rute selalu muncul tulisan ktp harus digit padahal dari dulu saya pakai nomor itu sedangkan untuk ktp saya coba di akun tidak bisa di edit sama sekali terima kasih atas bantuan cs,negatif,pemesanan,errorpemesanan
164,164,4.5.1,id,merlin,8,5,min mau nanya kalau kirim barang dari yogyakarta ke pelabuhan surabaya gimana caranya min,netral,feedback,lain
165,165,4.4.7,id,1807,8,5,sangat aman dan nyaman,positif,feedback,baik
166,166,4.4.7,id,ADVAN_G3,8,5,sangat membantu,positif,feedback,baik
167,167,4.4.9,id,a10,8,5,suka karena butuh pesan untuk penumpang tiap pemesanannya hehe,positif,feedback,baik
168,168,unknown,id,a30,8,4,good,positif,feedback,baik
169,169,4.4.8,id,nicklaus_f,8,5,good,positif,feedback,baik
170,170,unknown,id,CPH1701,8,5,bagus,positif,feedback,baik
171,171,4.5.1,id,a02q,8,5,sudah pakai,netral,feedback,lain
172,172,4.4.7,id,ASUS_X00AD_2,8,5,tolong dibantu,netral,feedback,lain
173,173,4.5.1,id,ASUS_X00P_6,8,5,bagus,positif,feedback,baik
174,174,4.5.1,en,begonia,8,4,peningkatan layanan,netral,feedback,lain
175,175,4.5.1,id,CPH1701,8,4,bagaimana cara untuk pemesanan tiket kereta dengan menunjukkan kartu vaksin,netral,feedback,lain
176,176,unknown,id,j8y18lte,8,3,sudah tidak jual tiket online apa tidak ada pemberangkatan terus apa lagi ppkm kan kita juga udah menuhin syarat biar gampang pesan tiket online bisa pesan kapan dan di mana aja,negatif,pemesanan,getjadwal
177,177,4.4.1,id,cactus,8,4,iya bagus,positif,feedback,baik
178,178,4.5.1,en,a51,8,3,setelah update juli lalu aplikasi kai access sering not responding,negatif,error,error
179,179,4.5.1,en,a51,8,3,beberapa kali pesan tiket tidak berhasil bayar karena waktu habis expired penyebabnya aplikasi freeze aplikasi tidak respon,negatif,pembayaran,errorpembayaran
180,180,4.4.7,id,m21,8,5,memuaskan,positif,feedback,baik
181,181,4.4.7,id,olive,8,5,bagus,positif,feedback,baik
182,182,unknown,id,on7xelte,8,5,nyaman dan menyenangkan,positif,feedback,baik
183,183,4.5.1,id,A37f,8,2,lelet susah diklik balik ke awal mulu ngelag mending aplikasi yang dulu abis upgrade malah lelet,negatif,error,error
184,184,4.5.1,id,santoni,8,3,aneh sekali kenapa aplikasi saya tidak bisa memesan tiket ka lokal padahal baru hari lalu bisa mohon pencerahannya ka,negatif,pemesanan,getjadwal
185,185,4.5.1,id,RMX1941,8,1,di aplikasi ada jadwal ke blitar tapi tidak ada yang berangkat disempet sempetin tidak tidur nyatanya zonk,negatif,pembatalan,announcebatal
186,186,4.4.7,id,SO-01J,8,5,cocok tiket kereta,netral,feedback,lain
187,187,4.5.1,id,ginkgo,8,1,ini kenapa aplikasinya kenapa tidak bisa memasukan akun saya,negatif,registrasilogin,login
188,188,4.4.9,en,citerus,8,5,sedih sekarang karena saya selalu menggunakan aplikasi ini tapi sekarang saya tidak bisa menemukan jadwal untuk saya pulang,negatif,pemesanan,getjadwal
189,189,4.5.1,id,RMX1941,8,1,pak kai access kenapa susah buat di akses aku sudah daftar pake akun aku kenapa tidak bisa di pakai lagi bener benar menjengkelkan masa tiba tiba suruh daftar lagi kan udah daftar bahkan udah pesan tiket terus tapi ini mah kok tidak bisa padahal semua syarat bener bener tidak bohong ah kecewa saya harus daftar ulang lagi daftar ulang lagi sudah masuk kan email padahal benar semua eh salah lagi salah lagi capek memang ya,negatif,registrasilogin,login
190,190,4.4.9,id,OP4C51L1,8,5,mempercepat proses pembayaran dan lebih hemat waktu dan praktis,positif,feedback,baik
191,191,4.4.7,id,CPH1701,8,5,mantap,positif,feedback,baik
192,192,4.5.0,id,j2y18lte,8,5,alhamdulillah,positif,feedback,lain
193,193,4.4.9,id,a20,8,4,menyenangkan,positif,feedback,baik
194,194,4.5.1,id,lime,8,5,lebih cepat nyaman dan nyaman,positif,feedback,baik
195,195,4.4.9,id,Infinix-X680B,8,5,sangat menyenangkan,positif,feedback,baik
196,196,unknown,id,a5xelte,8,5,lebih mudah dan tidak perlu antri tapi kasihan yang nenek nenek kakek kakek yang gatel tidak bisa mengoperasikan hpnya,positif,feedback,baik
197,197,4.5.1,id,CPH1909,8,3,sebelumnya sering pake kai access tapi kok akhir ini aku coba malah tidak keluar jadwalnya,negatif,pemesanan,getjadwal
198,198,unknown,id,j3y17lte,8,3,habis diperbarui tambah tidak bisa masuk gimana nih,negatif,registrasilogin,login
199,199,4.4.9,id,CPH1729,8,4,makin susah buat ngecek tiket,negatif,feedback,lain
200,200,4.5.1,id,OP4BA5L1,8,5,mantap,positif,feedback,baik
201,201,4.5.1,id,RMX2030,8,3,segera tambahkan metode pembayaran lainnya dong agar mempermudah customer yang tidak memiliki rekening bank mandiri,netral,pembayaran,metodebayar
202,202,4.4.7,id,OP4BFB,8,5,mantap dan keren,positif,feedback,baik
203,203,4.4.7,id,tulip,8,5,kemarin saya bisa pesan kenapa ini tidak bisa pesan kenapa time out terus,negatif,pemesanan,errorpemesanan
204,204,4.5.1,id,seoul,8,3,mohon diperbaiki pada perangkat saya android ada bug setelah pilih kursi sehingga tidak bisa lanjut beli tiket,negatif,pemesanan,errorpemesanan
205,205,4.5.1,en,seoul,8,1,sudah pesan tiket tapi dibatalkan pt kai karena ppkm ambil duit pengganti harus ke stasiun kota besar padahal jaraknya puluhan km duh kok gini ya padahal bayarnya pakai linkaja cashless masa pengembaliannya harus cash sistem nya kok setengah setengah gini sih apa memang kai tidak mau rugi atau gimana email ke cs juga tidak dibalas kapan indonesia maju kalo kayak gini,negatif,feedback,lain
206,206,4.5.1,id,grandpplte,8,5,oke,netral,feedback,lain
207,207,4.5.1,id,on7xelte,8,5,mudah dan sangat membantu,positif,feedback,baik
208,208,4.5.1,id,1812,8,4,istimewa,positif,feedback,baik
209,209,4.4.9,id,merlin,8,5,inovatif,positif,feedback,baik
210,210,4.5.1,id,Infinix-X682C,8,1,lemot,negatif,error,error
211,211,4.5.1,id,RMX1971,8,1,cuman fungsi buat menuhin memori kereta lokal masih belum bisa jalan padahal lagi butuh wkwkwk,negatif,feedback,lain
212,212,4.4.9,id,CPH1803,8,5,saya sudah mencoba membeli tiket berpuluh kali tapi ini tidak biasanya langsung ke linkaja malah ke redirect browser tolong ini diperbarui bukannya tambah bagus malah tambah jelek gimana ya mohon feedbacknya kai merugikan saya yang selalu naik kereta,negatif,pembayaran,errorpembayaran
213,213,4.5.1,id,oxygen,8,5,surabaya lamongan rupiah,netral,feedback,lain
214,214,unknown,id,lancelot,8,5,top,positif,feedback,baik
215,215,unknown,id,on7xelte,8,4,sangat membantu dalam pemesanan tiket ka,positif,feedback,baik
216,216,4.5.1,id,HWJAT-M,8,4,bagus bermanfaat,positif,feedback,baik
217,217,4.5.0,id,OP4B80L1,8,3,bisa cek tiket secara offline sih bagus tapi efeknya setelah nyoba cek tiket offline aplikasi gabisa balik online kan jadi payah,negatif,pemesanan,eticket
218,218,4.5.1,id,a51,8,5,good,positif,feedback,baik
219,219,unknown,id,OP4B79L1,8,5,kereta harganya berapa ya aku punya uang ,netral,feedback,lain
220,220,4.5.1,id,joyeuse,8,4,andai saja di sediakan info saat booking tiket jenis seat perbedaan eksekutif dan servis makan atau fasilitas dalam kereta dan info info lain yang bermanfaat mungkin aplikasi ini bisa lebih bermanfaat lagi selain itu untuk yang lainnya good job lah kai semakin sukses terus,negatif,pemesanan,errorpemesanan
221,221,unknown,id,CPH1901,8,5,okay,netral,feedback,lain
222,222,unknown,id,CPH1819,8,3,lumayan,netral,feedback,lain
223,223,unknown,id,a20s,8,5, bintang untuk kamu,netral,feedback,lain
